CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9452045,1,1,Y,-,998,G,G,E,L,B,N,-,-,-,-,"- ",,,N,-,0,0,B,2010,-,A,01,,,,-,-,2021
9452045,2,1,N,F,21,A,-,N,M,G,N,-,-,-,-,"- ",,,N,-,0,0,B,2004,-,A,01,,H,,-,-,2021
9452045,3,1,N,M,52,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,A,2019,-,A,01,,H,,-,-,2021
9452045,4,1,N,M,31,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,A,2010,-,A,01,,W,,-,-,2021
9452045,5,2,N,M,46,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,A,,-,N,60,,B,,-,-,2021
9453618,1,1,Y,M,34,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2021,JEEP,A,07,,W,,-,-,2022
9453618,2,4,N,M,66,A,-,S,-,-,,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9453618,3,3,N,-,998,H,H,S,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2021,-,A,01,,,,-,-,2022
8548693,1,1,Y,M,68,B,-,S,M,E,Y,-,-,-,,34,21950,,A,-,0,0,E,2013,HYUNDAI,A,07,,O,,-,-,2018
8548693,2,2,N,F,47,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,,,-,-,2018
9463702,1,1,Y,M,998,G,G,S,-,B,,-,3,-,-,"- ",,,N,-,0,0,C,,-,A,01,,,,-,-,2021
9463702,2,2,N,F,31,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,B,,-,-,2021
8633977,1,1,Y,M,30,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,1,B,2012,NISSAN,A,01,,H,,-,-,2018
8633977,2,1,N,M,36,A,-,E,L,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2017,TOYOTA,A,01,,A,,-,-,2018
8633977,3,2,N,M,51,-,,-,-,-,O,-,-,-,-,"- ",,,-,-,0,1,-,,-,N,60,,A,,-,-,2018
8634148,1,1,Y,M,22,D,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2000,HONDA,A,01,,H,,-,-,2018
8634148,2,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2015,VOLKSWAGEN,A,01,,,,-,-,2018
8634148,3,2,N,F,20,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,A,,-,N,60,,B,,-,-,2018
8639208,1,4,Y,M,39,G,G,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,Q,,-,L,04,,B,,-,-,2018
8639208,2,1,N,M,47,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2007,CHRYSLER,A,01,,B,,-,-,2018
8567302,1,1,Y,M,25,B,-,N,M,B,Y,-,-,-,,34,21950,,A,-,0,0,B,2013,CHRYSLER,A,01,,H,,-,-,2018
8567302,2,2,N,M,34,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2018
8646993,1,2,Y,M,7,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2018
8646993,2,1,N,M,42,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2015,NISSAN,A,01,,,,-,-,2018
8575802,1,1,Y,-,998,G,G,E,B,-,,-,-,-,-,"- ",,,N,-,0,0,D,2000,GMC,D,22,,,,-,-,2018
8575802,2,4,N,M,52,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2018
8577733,1,1,Y,M,48,A,-,N,M,G,Y,-,-,-,-,"- ",,,F,-,0,0,E,2008,TOYOTA,A,01,,O,-,-,-,2018
8577733,2,2,N,F,59,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2018
8587661,1,4,Y,M,29,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,B,,-,-,2018
8587661,2,1,N,M,31,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2007,FORD,J,48,,B,,-,-,2018
8589592,1,1,Y,M,26,A,-,E,M,C,Y,-,3,-,-,"- ",,,-,-,0,0,D,2007,FORD,A,01,,B,,-,-,2018
8589592,2,2,N,F,60,A,-,W,-,-,O,-,-,-,-,"- ",,,-,-,0,1,H,,-,N,60,,B,,-,-,2018
8599775,1,1,Y,M,70,A,-,S,M,G,N,-,-,-,-,"- ",,,N,-,0,0,E,2005,FORD,A,07,,W,,-,-,2018
8599775,2,2,N,M,44,-,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2018
8706720,1,2,Y,M,2,-,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2018
8706720,2,1,N,M,19,A,-,E,M,G,,-,3,-,-,"- ",,,N,-,0,0,B,2004,SUBARU,A,01,,H,,-,-,2018
8610100,1,2,Y,M,56,B,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2018
8610100,2,1,N,M,28,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2013,BUICK,A,01,,B,,-,-,2018
8617350,1,1,Y,M,35,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,C,2014,TOYOTA,A,01,,A,,-,-,2018
8617350,2,2,N,M,41,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2018
8632731,1,1,Y,M,56,-,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2015,FIAT,A,01,,H,,-,-,2018
8632731,2,2,N,M,50,A,-,E,-,-,O,-,-,-,,35,21954,A,A,-,0,1,R,,-,N,60,,B,,-,-,2018
8632735,1,4,Y,F,52,G,G,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,B,,-,-,2018
8632735,2,1,N,F,63,H,H,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2007,FORD,A,01,,,,-,-,2018
8686946,1,2,Y,M,51,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,,,-,-,2018
8686946,2,1,N,M,41,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2003,TOYOTA,A,01,,A,,-,-,2018
8717531,1,4,Y,M,17,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,A,,-,-,2018
8717531,2,1,N,M,28,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,D,2006,NISSAN,A,01,,H,,-,-,2018
8717576,1,1,Y,F,44,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,G,2015,TOYOTA,A,01,,,,-,-,2018
8717576,2,2,N,M,50,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,,,-,-,2018
8717576,3,3,N,-,998,-,-,-,-,-,O,-,-,-,-,"- ",,,-,-,0,0,O,2003,MERCEDES-BENZ,A,01,,,,-,-,2018
8641735,1,1,Y,M,22,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2003,FORD,A,01,,O,,-,-,2018
8641735,2,2,N,F,24,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2018
8689809,1,1,N,M,32,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2001,ACURA,A,01,,B,,-,-,2018
8689809,2,4,N,M,26,A,-,S,-,-,O,-,-,-,-,"- ",,,F,-,0,1,B,,-,L,04,,W,K,-,-,2018
8689814,1,1,Y,F,57,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2014,HONDA,A,01,,B,,-,-,2018
8689814,2,2,N,M,58,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2018
8656360,1,1,Y,M,68,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2015,HONDA,A,01,,A,,-,-,2018
8656360,2,2,N,F,23,-,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2018
8662175,1,1,Y,M,58,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2007,FORD,A,01,,,,-,-,2018
8662175,2,2,N,M,58,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2018
8662175,3,2,N,M,33,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,B,,-,N,60,,W,,-,-,2018
8690688,1,4,Y,M,19,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,E,,-,L,04,,B,,-,-,2018
8690688,2,1,N,M,998,G,G,S,B,-,,-,-,-,-,"- ",,,N,-,0,0,E,,-,A,07,,B,,-,-,2018
8690698,1,4,Y,M,18,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,A,,-,-,2018
8690698,2,1,N,F,44,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2014,ACURA,A,07,,H,,-,-,2018
8741591,1,4,Y,M,9,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,B,,-,-,2018
8741591,2,1,N,M,29,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,G,2018,CHEVROLET,A,01,,H,,-,-,2018
8662179,1,1,Y,M,68,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,D,2002,CHRYSLER,A,01,,B,,-,-,2018
8662179,2,4,N,M,42,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,B,,-,-,2018
8662684,1,1,Y,-,998,G,G,N,-,B,,-,-,-,-,"- ",,,-,-,0,0,B,,-,-,99,,,,-,-,2018
8662684,2,4,N,M,54,B,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,B,,-,-,2018
8662777,1,1,Y,-,998,G,G,N,P,B,,-,-,-,-,"- ",,,N,-,0,0,B,2013,DODGE,A,01,,,,-,-,2018
8662777,2,2,N,M,8,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2018
8668823,1,1,Y,M,62,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2016,FORD,A,01,,B,,-,-,2018
8668823,2,2,N,M,67,A,-,W,-,-,O,-,3,-,-,"- ",,,-,-,0,1,-,,-,N,60,,A,,-,-,2018
8669103,1,2,Y,M,27,B,-,W,-,-,O,-,-,-,-,"- ",,,-,-,0,1,R,,-,N,60,,H,,-,-,2018
8669103,2,2,N,M,998,B,-,W,-,-,O,-,-,-,-,"- ",,,-,-,0,1,R,,-,N,60,,H,,-,-,2018
8669103,3,1,N,F,37,A,-,S,M,G,Y,-,-,-,-,"- ",,,-,-,0,0,B,2003,TOYOTA,A,01,,H,,-,-,2018
8669323,1,1,Y,M,998,-,-,W,M,B,,-,-,-,-,"- ",,,N,-,0,0,B,2013,FORD,A,01,,B,,-,-,2018
8669323,2,2,N,F,63,H,H,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2018
8673347,1,4,Y,M,24,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,Q,,-,L,04,,B,,-,-,2018
8673347,2,1,N,F,58,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,L,2016,FORD,A,01,,W,,-,-,2018
8673347,3,1,N,M,26,A,-,N,M,G,N,-,-,-,-,"- ",,,N,-,0,0,L,2007,CHEVROLET,A,01,,B,,-,-,2018
8685912,1,4,N,M,56,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2018
8686979,1,1,Y,M,36,A,-,S,M,G,N,-,3,-,-,"- ",,,N,-,0,0,B,2013,TESLA,A,01,,B,,-,-,2018
8686979,2,4,N,F,35,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,J,,-,L,04,,W,,-,-,2018
8687461,1,1,Y,M,56,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,D,2017,PETERBILT,F,27,,W,,F,-,2018
8687461,2,4,N,F,63,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,A,,-,L,04,,B,,-,-,2018
8730841,1,1,Y,F,24,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2011,TOYOTA,A,01,,B,,-,-,2018
8730841,2,2,N,F,69,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,O,,-,-,2018
8730849,1,1,Y,-,998,G,G,S,B,-,,-,-,-,-,"- ",,,N,-,0,0,M,,-,-,99,,,,-,-,2018
8730849,2,2,N,F,30,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,A,,-,-,2018
8730947,1,1,Y,M,26,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,JEEP,A,01,,H,,-,-,2018
8730947,2,2,N,F,31,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2018
8705765,1,1,Y,M,46,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2006,MERCEDES-BENZ,A,07,,H,,-,-,2018
8705765,2,2,N,M,35,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2018
8705765,3,2,N,M,44,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,A,,-,-,2018
8706479,1,1,Y,-,998,G,G,N,P,B,,-,-,-,-,"- ",,,N,-,0,0,B,,-,-,,,,,-,-,2018
8706479,2,4,N,M,30,C,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,C,,-,L,04,,B,,-,-,2018
8742990,1,1,Y,M,66,C,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2012,CHEVROLET,A,01,,H,,-,-,2018
8742990,2,2,N,M,33,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,B,,-,-,2018
8785692,1,1,Y,-,998,G,G,W,N,-,,-,-,-,-,"- ",,,N,-,0,0,B,1990,TOYOTA,A,01,,,,-,-,2018
8785692,2,2,N,M,8,H,H,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2018
8785696,1,5,Y,-,998,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,D,,"OTHER - MOTORCYCLE",C,03,,,,-,-,2018
8785696,2,4,N,M,56,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2018
8709367,1,1,Y,M,60,B,-,W,M,G,,-,-,-,,31,22107,,A,-,0,0,B,2015,AUDI,A,01,,B,,-,-,2018
8709367,2,2,N,F,33,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2018
8710455,1,1,Y,-,998,-,-,S,-,B,,-,-,-,-,"- ",,,N,-,0,0,B,,-,A,01,,,,-,-,2018
8710455,2,2,N,F,47,H,H,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,,,-,-,2018
8710841,1,1,Y,M,57,A,-,N,N,A,N,-,-,-,-,"- ",,,N,-,0,0,B,1995,TOYOTA,A,01,,H,,-,-,2018
8710841,2,2,N,M,45,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,A,,-,N,60,,H,,-,-,2018
8715195,1,1,Y,F,22,A,-,S,L,H,Y,-,1,-,-,"- ",,,N,-,0,2,-,2006,VOLKSWAGEN,A,01,,H,,-,-,2018
8715195,2,2,N,M,27,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2018
8715872,1,1,Y,M,998,G,G,N,N,B,,-,-,-,-,"- ",,,N,-,0,0,B,1993,TOYOTA,A,01,,W,,-,-,2018
8715872,2,2,N,M,29,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2018
8728650,1,1,Y,F,35,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2013,KIA,A,01,,W,,-,-,2018
8728650,2,2,N,M,54,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2018
8768891,1,1,N,M,17,A,-,N,M,G,N,-,3,-,-,"- ",,,K,-,0,0,B,1992,LEXUS,A,01,,B,,-,-,2018
8768891,2,2,N,F,72,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2018
8770689,1,1,Y,M,45,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2003,TOYOTA,D,22,,H,,-,-,2018
8770689,2,2,N,F,24,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,A,,-,-,2018
8730903,1,1,Y,-,998,G,G,S,M,B,N,-,-,-,-,"- ",,,N,-,0,0,B,2018,FORD,A,01,,,,-,-,2018
8730903,2,2,N,F,38,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2018
8730920,1,1,Y,M,30,A,-,W,N,A,,-,-,-,-,"- ",,,N,-,0,1,B,2016,TRIUMPH,C,02,,B,,-,-,2018
8730920,2,1,N,M,46,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2011,FORD,A,01,,B,,-,-,2018
8730920,3,2,N,F,24,H,H,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,O,,-,-,2018
8740771,1,1,Y,F,80,H,H,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2010,FORD,A,01,,A,,-,-,2018
8740771,2,2,N,M,23,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2018
8741742,1,1,N,F,69,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2018,NISSAN,A,01,,B,,-,-,2018
8741742,2,2,N,M,34,G,G,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2018
8742039,1,4,Y,F,32,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,J,,-,L,04,,B,,-,-,2018
8742039,2,1,N,F,26,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2004,VOLVO,A,01,,H,,-,-,2018
8785677,1,4,Y,M,58,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2018
8785817,1,2,Y,F,16,A,-,N,-,-,O,-,-,-,-,"- ",,,F,-,0,1,B,,-,N,60,,H,-,-,-,2018
8785817,2,1,N,M,26,-,-,W,M,G,,-,-,-,-,"- ",,,E,-,0,0,-,1999,ACURA,A,01,,B,,-,-,2018
8750964,1,1,Y,M,31,A,-,S,M,G,Y,-,-,-,-,"- ",,,A,N,0,0,E,2006,CHEVROLET,D,22,,,,-,-,2018
8750964,2,2,N,F,86,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2018
8752768,1,1,Y,M,58,A,-,W,P,G,,-,3,-,-,"- ",,,N,-,0,0,I,2003,"OTHER - AUTO",I,20,,B,,-,-,2018
8752768,2,4,N,M,33,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2018
8754376,1,4,Y,M,65,A,-,E,-,-,O,-,-,-,-,"- ",,,M,-,0,1,R,,-,L,04,,B,,-,-,2018
8754376,2,1,N,M,56,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,1995,"OTHER - DOMESTIC",F,27,,H,,-,-,2018
8849595,1,1,Y,M,998,G,G,N,-,B,,-,-,-,-,"- ",,,N,-,0,0,E,,DODGE,-,99,,B,,-,-,2019
8849595,2,2,N,M,16,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2019
8754533,1,4,Y,M,40,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,D,,-,L,04,,B,,-,-,2018
8754533,2,1,N,M,30,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2008,TOYOTA,A,01,,B,,-,-,2018
8756967,1,1,N,F,37,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2003,CHEVROLET,A,01,,H,,-,-,2018
8756967,2,4,N,F,50,B,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,B,,-,-,2018
8757766,1,1,Y,M,47,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2016,HYUNDAI,A,01,,O,,-,-,2018
8757766,2,4,N,F,29,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2018
8870857,1,1,Y,-,998,G,G,S,P,B,,-,-,-,-,"- ",,,N,-,0,0,B,,AUDI,A,01,,,,-,-,2019
8870857,2,1,N,F,34,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2019,HONDA,A,07,,H,,-,-,2019
8870857,3,4,N,M,80,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,L,04,,A,,-,-,2019
8804202,1,1,Y,M,50,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2012,TOYOTA,A,01,,W,,-,-,2019
8804202,2,2,N,M,28,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,A,,-,-,2019
8815332,1,1,Y,M,42,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2015,NISSAN,A,01,,W,,-,-,2019
8815332,2,2,N,F,38,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2019
8815588,1,1,Y,F,69,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2010,HONDA,A,01,,W,,-,-,2019
8815588,2,2,N,F,65,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,A,,-,-,2019
8770916,1,1,Y,M,54,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2007,TOYOTA,A,01,,B,,-,-,2018
8770916,2,2,N,M,71,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2018
8771149,1,1,Y,M,37,A,-,W,M,G,N,-,-,-,-,"- ",,,N,-,0,0,E,1998,FORD,A,01,,B,,-,-,2018
8771149,2,4,N,M,23,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2018
8816648,1,2,Y,M,24,D,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,B,,-,-,2019
8816648,2,1,N,-,998,D,-,-,N,B,,-,-,-,-,"- ",,,N,-,0,0,B,,-,-,,,,,-,-,2019
8816684,1,1,Y,-,998,G,G,E,B,-,,-,-,-,-,"- ",,,N,-,0,0,B,,JEEP,A,08,,,,-,-,2019
8816684,2,2,N,F,30,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2019
8771259,1,1,Y,-,998,G,G,E,-,B,,-,-,-,-,"- ",,,N,-,0,0,E,2000,SUBARU,A,07,,,,-,-,2018
8771259,2,2,N,M,37,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2018
8820788,1,1,Y,M,34,G,G,N,M,B,,-,-,-,-,"- ",,,N,-,0,0,D,1998,CHRYSLER,A,08,,H,,-,-,2019
8820788,2,4,N,M,30,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2019
8772577,1,1,Y,F,65,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2012,HONDA,A,07,,B,,-,-,2018
8772577,2,2,N,M,33,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2018
8827941,1,1,Y,M,39,A,-,E,M,G,Y,-,-,-,,25,22350,,A,-,0,0,B,2007,ACURA,A,01,,A,,-,-,2019
8827941,2,2,N,M,45,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2019
8831650,1,1,N,M,57,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,D,2014,HYUNDAI,A,01,,B,,-,-,2019
8831650,2,2,N,F,57,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,A,,-,-,2019
8843138,1,1,Y,M,30,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2014,HONDA,A,01,,W,,-,-,2018
8843138,2,2,N,M,35,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,A,,-,-,2018
8793919,1,1,Y,M,58,A,-,W,L,G,Y,-,-,-,-,"- ",,,N,-,0,0,F,1998,TOYOTA,A,01,,B,,-,-,2018
8793919,2,2,N,F,34,A,-,E,-,-,O,-,-,-,-,"- ",,,M,-,0,1,B,,-,N,60,,B,,-,-,2018
8795221,1,1,Y,-,998,G,G,-,-,-,,-,-,-,-,"- ",,,N,-,0,0,M,,-,-,99,,,,-,-,2018
8795221,2,2,N,M,23,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,O,,-,N,60,,H,,-,-,2018
8795221,3,3,N,-,998,H,H,S,-,-,O,-,-,-,-,"- ",,,N,-,0,0,-,2004,TOYOTA,A,01,,,,-,-,2018
8848437,1,1,Y,F,57,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2009,TOYOTA,A,01,,W,,-,-,2019
8848437,2,2,N,M,68,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2019
8795261,1,1,Y,M,50,G,G,S,B,-,,-,-,-,-,"- ",,,N,-,0,0,A,2018,TOYOTA,A,01,,,,-,-,2018
8795261,2,4,N,M,55,A,-,S,-,-,O,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,04,,W,,-,-,2018
8800314,1,4,Y,M,44,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,D,,-,L,04,,W,,-,-,2018
8800314,2,1,N,M,37,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2013,LEXUS,A,01,,B,,-,-,2018
